lexique	number	color
algue	1	brun
aliments	1	brun
amande	1	marron
andalous	1	brun
animal	10	brun
animal	1	marron
animaux_poilus	1	marron
arbre	2	brun
arbre	15	marron
argile	1	marron
automne	1	marron
avocat	1	marron
balais	1	marron
banc	1	marron
barbe	4	brun
basané	1	brun
berger_allemand	1	marron
biche	1	marron
biscuit	1	brun
bison	1	marron
bière	5	brun
blatte	1	marron
bois	21	brun
bois	100	marron
bonnet	1	marron
bottes	1	marron
boudin	1	marron
boue	1	brun
boue	14	marron
branche	6	marron
brique	1	brun
brique	1	marron
buffet	1	marron
bâtiment	1	marron
béret	1	marron
cache pot	1	brun
cadre	2	marron
cafard	1	marron
café	4	brun
café	22	marron
cahier	1	brun
camion	1	marron
cannelle	2	marron
carrelage	1	brun
cartable	1	brun
cartable	2	marron
carton	9	marron
casquette	1	marron
casserole	1	brun
castor	3	brun
castor	1	marron
ceinture	2	marron
cerf	2	brun
cerf	6	marron
cervidé	1	brun
chaise	2	brun
chaise	7	marron
chalet	1	marron
champignon	1	marron
chapeau	1	brun
chapeau	2	marron
chat	1	marron
chaussette	1	marron
chaussure	2	brun
chaussure	21	marron
chemise	2	brun
cheval	18	brun
cheval	16	marron
chevelure	2	brun
cheveux	136	brun
cheveux	32	marron
chien	4	brun
chien	11	marron
chocolat	6	brun
chocolat	67	marron
châtaigne	3	brun
châtaigne	49	marron
chêne	1	marron
cigare	1	brun
coca_cola	1	marron
coup	2	marron
coussin	1	brun
couteau	1	brun
couverture de livre	2	brun
crayon	4	marron
crinière	1	brun
croûte	1	brun
crème	1	brun
crème	3	marron
cuir	4	brun
cuir	33	marron
cuivre	1	marron
cèpe	1	marron
daim	1	brun
datte	1	marron
différents_objets	1	marron
eau_sale	1	marron
esclave	1	marron
excréments	6	brun
excréments	49	marron
fasciste	1	brun
fauteuil	2	marron
femme	4	brun
feuille	2	brun
feuille	11	marron
fille	1	brun
flacon	1	marron
fleur	1	marron
foulard	2	marron
fourmi	1	brun
fourrure	3	brun
fourrure	3	marron
fruit	1	marron
gant	3	marron
garçon	2	brun
glace au café	1	brun
grain_de_beauté	1	marron
gâteau	2	marron
hippocampe	1	marron
homme	2	brun
hérisson	1	marron
idem	1	brun
insecte	8	brun
insecte	1	marron
inuit	1	brun
ivrogne	1	marron
jupe	1	marron
kiwi	5	marron
laine	1	marron
lampe	1	brun
lampe	1	marron
lapin	2	marron
lentilles	1	brun
lentilles	3	marron
limace	2	marron
liqueur	1	brun
livre	1	marron
liège	3	marron
loutre	2	brun
loutre	1	marron
légo	1	marron
lézard	1	marron
maghrébin	2	brun
manteau	1	brun
manteau	5	marron
marmotte	1	brun
marmotte	1	marron
marron	51	marron
marron_d_inde	4	marron
mec	1	brun
meuble	1	brun
meuble	35	marron
mine de crayon	1	brun
montbéliarde	1	brun
montbéliarde	1	marron
mousse_chocolat	1	marron
moustache	1	brun
moutarde	1	marron
mur	1	marron
mélèze	1	marron
nappe	1	marron
nature	1	marron
nazisme	1	brun
nazisme	1	marron
noisette	8	marron
noix	3	brun
noix	9	marron
noix_de_coco	4	marron
nuit	2	brun
objet	1	marron
oiseau	2	marron
ours	65	brun
ours	26	marron
ours_brun	2	marron
paillasson	1	marron
paille	1	marron
pain	2	brun
pain	1	marron
pantalon	6	marron
papier	2	marron
papillon	1	marron
parquet	1	brun
parquet	4	marron
peau	23	brun
peau	8	marron
peinture	2	brun
peinture	5	marron
pelage	7	brun
personne	6	brun
petit ours	3	brun
pierre	1	brun
plancher	2	marron
plante	1	marron
poil	11	brun
poils	1	marron
pomme	1	marron
pomme_de_pin	2	marron
porte	1	brun
porte	1	marron
portefeuille	2	marron
pot	1	marron
poterie	1	brun
poterie	1	marron
pruneau	1	brun
pull	1	brun
pull	3	marron
pâte_à_tartiner	1	marron
pénage	1	brun
pénage	1	marron
racine	1	marron
rat	1	brun
reliure	1	marron
renard	1	marron
rhum	1	brun
rivière	2	marron
robe	1	marron
robe_de_burre	1	marron
rotin	1	marron
rouille	1	marron
sac	1	brun
sac	8	marron
saleté	1	marron
sanglier	1	marron
sauce	1	brun
singe	1	brun
sourcil	1	brun
sucre	2	brun
tabac	10	brun
table	1	brun
tache	1	brun
tache	1	marron
tapis	1	marron
tapisserie	1	marron
taupe	1	marron
teint	3	brun
teinture	5	brun
terre	15	brun
terre	78	marron
thé	1	marron
tissu	3	brun
tissu	4	marron
tronc	5	brun
tronc	34	marron
tête	1	brun
vache	3	brun
vache	3	marron
valise	1	marron
vernis a ongle	1	brun
verre	1	marron
veste	3	marron
voiture	1	marron
volet	1	brun
volet	1	marron
vêtement	3	brun
vêtement	9	marron
yeux	34	brun
yeux	42	marron
écorce	4	brun
écorce	10	marron
écureuil	3	brun
écureuil	2	marron
étagère	1	marron
étui	1	marron
