lexique	number	color	forbes
adorable	1	brun	miscellaneous
aimable	1	brun	miscellaneous
algue	1	brun	food
aliments	1	brun	food
amande	1	marron	food
andalous	1	brun	persons
animal	10	brun	animals
animal	1	marron	animals
animaux_poilus	1	marron	animals
arbre	2	brun	trees
arbre	15	marron	trees
argile	1	marron	earth
automne	1	marron	miscellaneous
avocat	1	marron	food
balais	1	marron	miscellaneous
banc	1	marron	wooden
barbe	4	brun	other_physical_attributes
basané	1	brun	persons
bâtiment	1	marron	miscellaneous
béret	1	marron	clothes
berger_allemand	1	marron	animals
biche	1	marron	animals
bière	5	brun	food
biscuit	1	brun	food
bison	1	marron	animals
blatte	1	marron	animals
bois	21	brun	wooden
bois	100	marron	wooden
bonnet	1	marron	clothes
bottes	1	marron	clothes
boudin	1	marron	food
boue	1	brun	earth
boue	14	marron	earth
branche	6	marron	trees
brique	2	brun	miscellaneous
brique	1	marron	miscellaneous
bronzer	1	brun	other_physical_attributes
buffet	1	marron	wooden
cache pot	1	brun	miscellaneous
cadre	2	marron	wooden
cafard	1	marron	animals
café	4	brun	food
café	22	marron	food
cahier	1	brun	miscellaneous
camion	1	marron	miscellaneous
cannelle	2	marron	food
capybara	1	brun	animals
carrelage	1	brun	miscellaneous
cartable	1	brun	miscellaneous
cartable	2	marron	miscellaneous
carton	9	marron	miscellaneous
casquette	1	marron	clothes
casserole	1	brun	miscellaneous
castor	3	brun	animals
castor	1	marron	animals
ceinture	2	marron	clothes
cèpe	1	marron	food
cerf	2	brun	animals
cerf	6	marron	animals
cervidé	1	brun	animals
chaise	2	brun	wooden
chaise	7	marron	wooden
chalet	1	marron	wooden
champignon	1	marron	food
chapeau	1	brun	clothes
chapeau	2	marron	clothes
charmante	1	brun	miscellaneous
chat	1	marron	animals
châtaigne	3	brun	food
châtaigne	49	marron	food
chaussette	1	marron	clothes
chaussure	2	brun	clothes
chaussure	21	marron	clothes
chemise	2	brun	clothes
chêne	1	marron	trees
cheval	19	brun	animals
cheval	16	marron	animals
chevelure	2	brun	hair
cheveux	136	brun	hair
cheveux	32	marron	hair
chien	4	brun	animals
chien	11	marron	animals
chocolat	6	brun	food
chocolat	67	marron	food
cigare	1	brun	tobacco
coca_cola	1	marron	food
coup	2	marron	miscellaneous
coussin	1	brun	miscellaneous
couteau	1	brun	miscellaneous
couverture de livre	2	brun	miscellaneous
crayon	4	marron	miscellaneous
crème	1	brun	food
crème	3	marron	food
crinière	1	brun	animals
croûte	1	brun	miscellaneous
cuir	4	brun	leather
cuir	33	marron	leather
cuivre	1	marron	miscellaneous
daim	1	brun	animals
daniel radcliffe	1	brun	miscellaneous
datte	1	marron	food
différents_objets	1	marron	miscellaneous
eau_sale	1	marron	miscellaneous
écorce	4	brun	trees
écorce	10	marron	trees
écureuil	3	brun	animals
écureuil	2	marron	animals
esclave	1	marron	persons
étagère	1	marron	wooden
étui	1	marron	miscellaneous
excréments	6	brun	miscellaneous
excréments	49	marron	miscellaneous
fasciste	1	brun	miscellaneous
fauteuil	2	marron	wooden
femme	6	brun	persons
feuille	2	brun	trees
feuille	11	marron	trees
fière	1	brun	miscellaneous
fille	1	brun	persons
flacon	1	marron	miscellaneous
fleur	1	marron	miscellaneous
foulard	2	marron	clothes
fourmi	1	brun	animals
fourrure	3	brun	miscellaneous
fourrure	3	marron	miscellaneous
fruit	1	marron	food
gant	3	marron	clothes
garçon	2	brun	persons
gâteau	2	marron	food
gentille	1	brun	miscellaneous
glace au café	1	brun	food
grain_de_beauté	1	marron	other_physical_attributes
hérisson	1	marron	animals
hippocampe	1	marron	animals
homme	4	brun	persons
idem	1	brun	miscellaneous
insecte	8	brun	animals
insecte	1	marron	animals
inuit	1	brun	persons
ivrogne	1	marron	persons
jupe	1	marron	clothes
kiwi	5	marron	food
laine	1	marron	miscellaneous
lampe	1	brun	miscellaneous
lampe	1	marron	miscellaneous
lapin	2	marron	animals
légo	1	marron	miscellaneous
lentilles	1	brun	food
lentilles	3	marron	food
lézard	1	marron	animals
liège	3	marron	miscellaneous
limace	2	marron	animals
liqueur	1	brun	food
livre	1	marron	miscellaneous
loutre	2	brun	animals
loutre	1	marron	animals
maghrébin	2	brun	persons
manteau	1	brun	clothes
manteau	5	marron	clothes
marmotte	1	brun	animals
marmotte	1	marron	animals
marron	51	marron	food
marron_d_inde	4	marron	miscellaneous
mec	1	brun	persons
mélèze	1	marron	trees
merveilleux	1	brun	miscellaneous
meuble	1	brun	wooden
meuble	35	marron	wooden
mine de crayon	1	brun	miscellaneous
montbéliarde	1	brun	animals
montbéliarde	1	marron	animals
mousse_chocolat	1	marron	food
moustache	1	brun	other_physical_attributes
moutarde	1	marron	food
mur	1	marron	miscellaneous
nappe	1	marron	miscellaneous
nature	1	marron	miscellaneous
nazisme	1	brun	miscellaneous
nazisme	1	marron	miscellaneous
noisette	1	brun	food
noisette	8	marron	food
noix	3	brun	food
noix	9	marron	food
noix_de_coco	4	marron	food
nuit	2	brun	miscellaneous
objet	1	marron	miscellaneous
œuf	1	brun	food
oiseau	2	marron	animals
ours	67	brun	animals
ours	26	marron	animals
ours_brun	2	marron	animals
paillasson	1	marron	miscellaneous
paille	1	marron	miscellaneous
pain	2	brun	food
pain	1	marron	food
panière	1	brun	miscellaneous
pantalon	6	marron	clothes
papier	2	marron	miscellaneous
papillon	1	marron	animals
parquet	1	brun	wooden
parquet	4	marron	wooden
pâte_à_tartiner	1	marron	food
peau	23	brun	other_physical_attributes
peau	8	marron	other_physical_attributes
peinture	2	brun	paint_color
peinture	5	marron	paint_color
pelage	7	brun	animals
pénage	1	brun	miscellaneous
pénage	1	marron	miscellaneous
personne	7	brun	persons
petit ours	4	brun	animals
pierre	1	brun	miscellaneous
plancher	2	marron	wooden
plante	1	marron	miscellaneous
poil	11	brun	other_physical_attributes
poils	1	marron	other_physical_attributes
pomme	1	marron	food
pomme_de_pin	2	marron	trees
porte	1	brun	wooden
porte	1	marron	wooden
portefeuille	2	marron	clothes
pot	1	marron	miscellaneous
poterie	1	brun	miscellaneous
poterie	1	marron	miscellaneous
pruneau	1	brun	food
pull	1	brun	clothes
pull	3	marron	clothes
racine	1	marron	trees
rat	1	brun	animals
reliure	1	marron	miscellaneous
renard	1	marron	animals
rhum	1	brun	food
rivière	2	marron	miscellaneous
