CASE	SERIAL	REF	QUESTNNR	MODE	STARTED	PI06	PI01	PI02	PI03	PI04_01	PI05	CO01	CO01x01	CO01x02	CO01x03	CO01x04	CO01x05	CO01x06	CO01x07	CO01x08	CO01x09	CO01x10	CO01x11	CO01x12	CO01x13	CO01x14	CO01x15	CO01x16	CO01x17	CO01x18	CO01x19	CO01x20	CO01x21	CO01x22	CO01x23	CO01x24	CO01x25	LI01	LI01x01	LI01x02	LI01x03	LI01x04	LI01x05	LI01x06	LI01x07	LI01x08	LI01x09	LI01x10	LI01x11	LI01x12	LI01x13	LI01x14	LI01x15	LI02	LI02x01	LI02x02	LI02x03	LI02x04	LI02x05	LI02x06	LI02x07	LI02x08	LI02x09	LI02x10	LI02x11	LI02x12	LI02x13	LI02x14	LI02x15	A101_01	A101_02	A101_03	A101_04	A101_05	A102_01	A102_02	A102_03	A102_04	A102_05	A103_01	A103_02	A103_03	A103_04	A103_05	A104_01	A104_02	A104_03	A104_04	A104_05	A105_01	A105_02	A105_03	A105_04	A105_05	DE01_01	DE01_02	DE01_03	DE01_04	DE01_05	DE01_06	DE01_07	DE01_08	DE01_09	DE01_10	A301_01	A301_01a	A301_02	A301_02a	A301_03	A301_03a	A301_04	A301_04a	A301_05	A301_05a	A301_06	A301_06a	A301_07	A301_07a	A301_08	A301_08a	A301_09	A301_09a	A301_10	A301_10a	A301_11	A301_11a	A301_12	A301_12a	CH01_pts	CH01_rgs	CH01_03	CH02_pts	CH02_rgs	CH02_03	CH03_pts	CH03_rgs	CH03_03	CH04_pts	CH04_rgs	CH04_03	CH05_pts	CH05_rgs	CH05_03	TIME001	TIME002	TIME003	TIME004	TIME005	TIME006	TIME007	TIME008	TIME009	TIME010	TIME011	TIME012	TIME013	TIME014	TIME015	TIME016	TIME017	TIME018	TIME_SUM	MAILSENT	LASTDATA	FINISHED	Q_VIEWER	LASTPAGE	MAXPAGE	MISSING	MISSREL	TIME_RSI	DEG_TIME
52			base	interview	18/02/2021 08:26:32	1	3	1	4	Espagnol	4																																																																																																																																					27	16	23																66		18/02/2021 08:27:38	0	0	3	3	0	0	0.76	0
54			base	interview	18/02/2021 08:29:26	1	3	1	4	Espagnol	4	11	rouge	jaune	bleu	vert	noir	blanc	gris	marron	rose	orange	violet															4	bois	selle	boue	amande												5	homme	garçon	cheveux	poil	barbe											1	0	0	0	101	0	0	0	0	0	0	0	98	0	0	0	101	0	80	0	0	101	101	0	0	1	3	-1	3	1	3	-1	-1	1	1	1	6426	2	5575	3	4815	3	5628	1	2068	1	6884	3	18917	2	5221	2	2157	1	2130	2	2018	3	5429	127,156,3 124,177,3 124,201,3 99,203,3 87,180,3 105,179,3 84,198,3 63,205,3 72,180,3 127,149,3	1111111111	10	168,180,3 141,180,3 142,205,3 165,204,3 186,202,3 183,177,3 153,225,3 169,231,3 184,227,3 144,228,3	1111111111	10	22,129,3 24,103,3 24,154,3	111	3	341,177,3 359,181,3 381,177,3 378,159,3 380,124,3 356,136,3 352,154,3 399,179,3 419,179,3 335,105,3	1111111111	10	177,201,3 204,203,3 183,227,3 164,229,3 225,202,3 212,181,3 220,182,3 185,178,3	11111111	8	5	5	10	75	411	69	28	11	9	20	10	77	35	27	56	32	26	59	637		18/02/2021 08:45:31	1	0	18	18	23	13	1.11	19
55			base	interview	18/02/2021 08:30:42	1	4	2	1			9	bleu	rouge	vert	jaune	orange	violet	blanc	gris	noir																	8	marron	cheveux	châtaigne	iris des yeux	noisette	tronc d'arbre	renard	ours								2	ours	cheveux														0	0	0	50	89	12	29	0	0	0	0	0	14	0	0	0	86	0	5	0	0	80	0	0	0	1	2	-1	3	1	1	-1	-1	-1	1	2	2653	3	9783	3	5019	1	4572	3	3135	2	6097	1	13055	3	10172	2	4208	3	3049	2	5937	3	4560	90,183,3	1	1	185,206,3	1	1	216,133,3 224,131,3	11	2	341,102,3	1	1	186,226,3	1	1	8	14		49	152	50	27	52	10	34	13	82	11	14	24	5	13	39	597		18/02/2021 08:40:40	1	0	18	18	23	12	1.25	18
61			base	interview	18/02/2021 08:57:24	1	4	2	1			6	bleu	blanc	rouge	jaune	vert	rouge																				2	marron	bois														1	cheveux															0	0	0	0	101	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	101	0	2	2	2	2	1	1	1	2	2	2	2	6138	3	4664	1	4521	3	3241	1	1882	2	5521	3	2738	3	2065	2	2689	3	1641	2	3017	1	2673	89,177,3	1	1	186,209,3 183,225,3	11	2	206,158,3	1	1	346,106,3	1	1	165,207,3	1	1	17	10		34	41	7	10	6	9	4	13	50	8	12	6	7	5	17	256		18/02/2021 09:01:40	1	0	18	18	32	20	2.18	78
63			base	interview	18/02/2021 08:59:29	1	4	1	1			25	rouge	jaune	bleu	vert	violet	rose	orange	blanc	noir	gris	beige	marron	bordeaux	roux	indigo	turquoise	azur	émeraude	rubis	brun	olive	pistache	blond	fauve	doré																																																																																																											31	8		166															205		18/02/2021 09:02:54	0	0	4	4	0	0	0.95	10
65			base	interview	18/02/2021 08:59:47	1	3	2	4	le chinois	4																																																																																																																																					22	14	19																55		18/02/2021 09:00:42	0	0	3	3	0	0	0.9	0
66			base	interview	18/02/2021 09:00:20	1	4	1	1			10	rouge	bleu	jaune	vert	blanc	noir	rose	orange	gris	beige																3	cuir	bois	caca													2	cheveux	animal														0	0	1	80	81	41	0	27	0	56	0	0	82	0	0	17	71	0	0	12	0	12	0	0	0	3	1	2	1	1	1	3	2	1	1	2	4700	2	7847	3	18496	1	5334	3	13070	1	4298	2	3320	3	2776	3	14084	3	6129	2	3173	3	2971	108,182,3 107,157,3	11	2	185,181,3 171,183,3 186,209,3	111	3	206,157,3	1	1	357,108,3 359,133,3 340,109,3 339,134,3	1111	4	219,158,3 243,158,3	11	2	4	14		80	54	68	22	19	12	14	9	96	34	29	21	17	9	42	544		18/02/2021 09:09:24	1	0	18	18	20	10	1.15	18
67			base	interview	18/02/2021 09:02:33	1	5	1	1			8	bleu	vert	jaune	rouge	orange	blanc	noir	violet																		5	châtaigne	excrément	chocolat	datte	bois											2	cheveux	pain														1	0	0	0	101	50	0	0	0	101	0	0	99	0	0	0	78	0	33	0	0	101	51	0	0	2	2	3	3	1	1	3	3	3	1	2	6276	2	2875	3	4165	1	20819	2	4807	1	3248	3	3391	2	2067	3	9110	1	1890	2	2211	3	2591	107,179,3	1	1	185,206,3	1	1	165,228,3	1	1	360,156,3	1	1	146,228,3	1	1	7	7		50	77	41	20	13	11	18	12	73	13	9	10	8	11	34	414		18/02/2021 09:09:27	1	0	18	18	23	12	1.55	28
68			base	interview	18/02/2021 09:03:02	1	6	2	1			13	rouge	vert	bleu	jaune	noir	blanc	orange	violet	marron	beige	gris	anthracite	sienne													2	ours	marron														2	ours	cheveux														0	0	0	51	101	97	0	0	0	95	0	0	95	0	0	0	0	0	51	98	0	100	0	0	0	1	1	2	3	1	1	3	3	3	3	3	5095	2	5979	2	7249	1	15281	3	4567	1	5613	3	6049	2	5500	3	9204	1	4359	2	5232	3	5134	100,176,3 94,179,3	11	2	159,235,3	1	1	248,218,3	1	1	378,155,3	1	1	327,225,3	1	1	9	9		2414	41	11	11	9	7	12	8	89	14	5	24	6	5	34	386		18/02/2021 09:48:10	1	0	18	18	23	13	1.82	50
69			base	interview	18/02/2021 09:03:15	1	4	2	4	Anglais 	4																																																																																																																																					9	29	15																53		18/02/2021 09:04:08	0	0	3	3	0	0	1.26	22
