lexique	number
rouge	203
bleu	196
blanc	156
jaune	190
noir	148
vert	187
bleu cyan	1
rose	113
le rouge	1
 blanc	1
rouje	1
blanc (est-ce une couleur?)	1
bleue	2
violet	149
vert clair	3
marron	105
orange	148
rouge magenta	1
noire	2
le jaune	2
blue	1
bleu jaune	1
bleu ciel	3
le bleu	1
magenta	11
le vert	1
gris	99
cyan	10
brun	16
bleu marine	5
noir (est-ce une couleur?)	1
l’orange	1
sepia	1
vert foncé	2
indigo	10
azuré	1
le violet	1
(noir)	1
voilet	1
prune	2
(blanc)	1
beige	33
ocre	6
pourpre	5
turquoise	13
bleu foncé	2
bordeaux	9
mauve	19
vert fonc2	1
fuscia	1
vert d'eau	1
parme	4
bleu clair	2
vermillon	1
carmin	4
grenat	3
lila	3
or	7
brun clair	1
kaki	6
gri	1
taupe	2
emeraude	2
argenté	4
grenad	1
saumon	1
bordeau	2
anthracite	1
brun fonce	1
moutarde	2
fushia	1
pastel	1
sienne	1
fuchsia	1
bleue-marine	1
doré	4
le test est variante et sous ton	1
lilas	2
roux	2
verte émeraude	1
crème	2
vert-bouteille	1
argent	4
blond	3
émeraude	2
ivoire	1
fauve	2
terre de sienne	1
azur	1
ecarlate	1
acajou	1
châtain	1
rouille	1
jaune citron	1
ecru	1
rubis	1
noisette	1
bronze	2
marron clair	1
corde	1
caramel	1
vermeil	1
olive	2
marron foncé	1
pistache	1
rouge carmin	1
jade	1
gris clair	1
chair	1
maxi	1
gris foncé	1
mordoré	1
ambre	1
