lexique	number
cheveux	117
ours	57
yeux	33
bois	15
cheveu	5
homme brun	2
châtaigne	3
un ours	5
homme	7
personne	5
cheveux bruns	2
des cheveux	6
table	1
une noix	1
le bois	2
le petit ours	1
brique	1
couleur de peau	1
animal	6
chevelure	2
tronc d’arbre	1
animaux à pelage brun	1
charmante	1
chocolat	4
iris des yeux	1
les cheveux bruns	1
écureuil	3
vêtement	2
des cheveux bruns	1
nazisme	1
meuble	1
un homme	2
écorce d'arbre	2
cheval	16
des noix	2
bronzer	1
tache	1
couleur de cheveux	2
petit ours brun	1
l'ours brun	1
tronc	1
œuf	1
tabac	10
teint	3
cerf	2
vacancier au soleil	1
chocolat au lait	1
mes cheveux	1
arabes	1
daniel radcliffe	1
sucre	2
terre	14
ours brun	1
les biscuits	1
chemises	1
chaise	1
peau	17
poils	7
bière	4
excrément	2
femme brune	2
castor	3
un cuir traité	1
petit ours ....	1
pelage	6
femme	3
chevaux	1
chien	4
pruneaux	1
la terre	1
le caca	1
pull	1
fourrure	2
le teint	1
sourcils	1
cartable	1
certains bois	1
teddy bear	1
barbe	4
poil	4
un bel andalous	1
vaches	1
garçon	2
parquet	1
feuilles d'arbre	1
pelage d’ours	1
vache	2
un inuit	1
les cheveux	1
café	3
gentille	1
basané	1
lentilles	1
crinière	1
chaussures	2
noisette	1
cervidés	1
pain	2
merveilleux	1
certaines robes de chevaux	1
briques	1
couverture de livre	2
chemise	1
bois d'acacia	1
algues	1
tronc d'arbre	3
fourrures	1
le cafe	1
peau halée	1
penage	1
pierre	1
cuir	1
robe de cheval	1
une femme andine	1
peau (tannée)	1
tissus	1
vernis a ongle	1
la peau après l'été	1
tissu	2
sac	1
animaux	2
rhum	1
loutres	1
ecorce	1
loutre	1
de la peau bronzée	1
maghrébins	1
poterie	1
arbre	2
cuir..	1
pelage d'animaux	1
mec	1
capybara	1
cahier	1
portes	1
teinture sur la peau	1
tète	1
peinture	2
adorable	1
excréments	1
daim	1
montbéliarde	1
moustache	1
le cacao	1
certains pelages d'animaux	1
des aliments	1
matière fécale	1
teinture	4
feuilles	1
du bois	1
mine de crayon	1
fille	1
glace au café	1
chapeau	1
crème	1
des ours	1
aimable	1
cache pot	1
biere	1
petit ours	1
nuit	2
type de personne	1
bois traite	1
du cuir	1
fière	1
carrelage	1
fachiste	1
panière	1
sauce	1
manteau	1
coussin	1
liqueur	1
cigare	1
etc. (même liste)	1
insectes	1
chaises	1
boue	1
fourmis	1
rats	1
casserole	1
écorce d'arbres	1
couteau	1
croûte	1
marmotte	1
vêtements	1
volets	1
crotte	1
peau meurtrie	1
singe	1
lampe	1
souches d'arbres pourries	1
devantures	1
vison	1
