lexique	number
bois	85
terre	65
marron	27
yeux	35
châtaigne	22
un marron	9
chocolat	54
chataigne	15
arbre	14
ours	18
tronc	12
chaussures	13
tronc d'arbre	10
cuir	29
cheval	15
marron glacé	2
table	12
excréments	17
la crème de marron	1
taupe	1
le bois	3
un tronc	1
merde	3
le marron	1
un marron !	1
châtaignes	4
chaise	6
écorce	8
meubles en bois	1
troncs d'arbres	2
marron châtaigne	3
feuille morte	2
caca	8
tronc d’arbre	2
cerf	4
boue	11
bois et branche	1
café	17
une branche	1
pelage d'un ours brun	1
noix de coco	3
marrons	4
crayon	4
troncs d'arbre	1
nazisme	1
une châtaigne	3
sanglier	1
marron d'inde	3
tronc arbre	1
ecorce	1
table en bois	1
kiwi	5
balais	1
pull	1
des marrons	1
lentilles	2
de la terre	4
les noix	1
chataîgne	4
tronc d arbre	1
meuble	15
excrément	9
chien	9
du caca	1
le chocolat	4
du bois	5
cheveux	27
carton	8
boudin	1
cacao	4
une noistte	1
l ours	1
des cheveux bruns	2
un ours	5
vêtement	7
chapeau	2
manteau	5
cannelle	1
boit	1
terre cuite	1
"la peau dite ""noire"""	1
chaise en bois	1
chocolat au lait	1
insecte	1
noix	7
papier kraft	1
du chocolat	1
coup	2
iris (des yeux)	1
chat	1
marron - fruit	1
chêne	1
bois vieilli	1
feuille	3
selles	2
des animaux à poils	1
champigons	1
argile	1
un cuir	1
peau	6
paillasson	1
des branches d'arbre	1
feuille d'automne	2
des cheveux	1
pantalon	6
cartable	2
le caca	2
biche	1
marron (chataigne)	1
noisette	3
foulard	2
les yeux marron	1
la terre	6
branches	2
du carton	1
portefeuille	2
volet	1
robe de burre	1
cadre	2
banc	1
veste	2
feuilles d'automne	1
sac	6
un pull	1
oiseau	1
bois foncés	1
écureuil	2
cuir tanné	1
meuble en bois	1
chaussure	8
marron dinde	1
rotin	1
branche	2
la terre, le terreau	1
rivière	2
un chien	1
légo	1
ceinture	1
cuivre	1
gant	1
différents objets ...	1
crotte	2
armoire en bois	1
feuilles mortes	1
lapin	2
le café	3
écorces	1
fourrure	3
glaise	1
les noisettes	1
ours brun	2
la boue	2
berger allemand (canidé)	1
blattes	1
gants	2
avocat	1
des excréments	2
vetements	1
nature	1
vache	2
peinture	4
un iris d'œil	1
les selles	1
chalet	1
fruit	1
chaussettes	1
montbéliarde	1
animal	1
datte	1
cuir (souvent)	1
excrêments	1
voiture	1
racines	1
plancher	2
le cacao	2
grain de beauté	1
meubles	2
pupille	1
une veste	1
vêtements	1
une noisette	2
les lentilles	1
poils	1
objet	1
amande	1
iris des yeux	1
saleté	1
la pate à tartiner	1
chevaux	1
gâteau au chocolat	1
de la boue	1
chevelure	1
de la merde	1
liège	3
cèpes	1
rouille	1
parquet	4
sacoche	1
tapisserie	1
robes	1
le cafe	1
moutarde	1
bois sombre	1
un arbre	1
pot	1
 ours	1
pomme de pin	2
paille	1
mousse au chocolat	1
hérisson	1
du papier en mauvias état	1
camion	1
poterie	1
des yeux	1
les peaux noires (souvent)	1
certains bois	1
loutre	1
cafards	1
briques	1
béret	1
mes yeux	1
pain	1
la noix	1
bureau	1
buffet	1
verre	1
castor	1
vaches	1
fauteuil	2
bonnets	1
crème à tartiner	1
chataignes	1
tronc d'arbre (souvent)	1
centures	1
tissus	2
limace	2
bison	1
sacs	1
un tronc d'arbre	1
mes cheveux	1
terre glaise	1
chiens	1
noix de coco 	1
porte ancienne	1
laine	1
marmotte	1
un renard	1
pénage	1
ivrogne	1
un tronc d'arbre (son écorce)	1
nappe	1
bois (souvent)	1
automne	1
jupe	1
le marron (fruit du marronnier)	1
meleze	1
papillon	1
esclave	1
café au lait	1
tissu marron	1
noisettes	1
valise	1
cervidés (souvent)	1
la canelle	1
casquette	1
tronc d'abre	1
reliures de certains livres	1
murs	1
livre	1
peinture marron	1
chocolat (sauf le blanc !...)	1
feuille d’automne	1
cuir marron	1
oiseaux	1
table de jardin	1
étagère	1
tissu	1
lézards	1
pull over	1
bâtiment	1
coca cola	1
tapis	1
tache	1
thé	1
lampe	1
cerfs	1
feutre	1
pomme pourrie	1
crème	1
eau sale	1
fleurs fanées	1
flacon	1
étui	1
gateaux	1
bottes	1
plante	1
hippocampe	1
