"objMarron","objMarron","number"
" ours","ours",1
"amande","amande",1
"animal","animal",1
"arbre","arbre",14
"argile","argile",1
"armoire en bois","meuble",1
"automne","automne",1
"avocat","avocat",1
"balais","balais",1
"banc","banc",1
"bâtiment","bâtiment",1
"béret","béret",1
"berger allemand (canidé)","berger allemand",1
"biche","biche",1
"bison","bison",1
"blattes","blatte",1
"bois","bois",80
"bois ","bois",5
"bois (souvent)","bois",1
"bois et branche","bois",1
"bois foncés","bois",1
"bois sombre","bois",1
"bois vieilli","bois",1
"boit","bois",1
"bonnets","bonnet",1
"bottes","bottes",1
"boudin","boudin",1
"boue","boue",11
"branche","branche",2
"branches","branche",2
"briques","brique",1
"buffet","meuble",1
"bureau","meuble",1
"caca","excréments",8
"cacao","chocolat",3
"cacao ","chocolat",1
"cadre","cadre",2
"cafards","cafard",1
"café","café",13
"café ","café",4
"café au lait","café",1
"camion","camion",1
"cannelle ","cannelle",1
"cartable","cartable",2
"carton","carton",8
"casquette","casquette",1
"castor","castor",1
"ceinture","ceinture",1
"centures","ceinture",1
"cèpes","cèpe",1
"cerf","cerf",4
"cerfs","cerf",1
"certains bois","bois",1
"cervidés (souvent)","cerf",1
"chaise","chaise",6
"chaise en bois","chaise",1
"chalet","chalet",1
"champigons","champignon",1
"chapeau","chapeau",2
"chat","chat",1
"chataigne","châtaigne",14
"chataîgne","châtaigne",4
"châtaigne","châtaigne",19
"chataigne ","châtaigne",1
"châtaigne ","châtaigne",3
"chataignes","châtaigne",1
"châtaignes","châtaigne",2
"châtaignes ","châtaigne",2
"chaussettes","chaussette",1
"chaussure","chaussure",8
"chaussures","chaussure",11
"chaussures ","chaussure",2
"chêne","chêne",1
"cheval","cheval",12
"cheval ","cheval",3
"chevaux","cheval",1
"chevelure","cheveux",1
"cheveux","cheveux",23
"cheveux ","cheveux",4
"chien","chien",8
"chien ","chien",1
"chiens","chien",1
"chocolat","chocolat",48
"chocolat ","chocolat",6
"chocolat (sauf le blanc !...)","chocolat",1
"chocolat au lait","chocolat",1
"coca cola","coca cola",1
"coup","coup",2
"crayon","crayon",4
"crème","crème",1
"crème à tartiner","crème",1
"crotte","excréments",2
"cuir","cuir",27
"cuir ","cuir",2
"cuir (souvent)","cuir",1
"cuir marron","cuir",1
"cuir tanné","cuir",1
"cuivre","cuivre",1
"datte","datte",1
"de la boue","boue",1
"de la merde","excréments",1
"de la terre","terre",4
"des animaux à poils","animal",1
"des branches d'arbre","branche",1
"des cheveux","cheveux",1
"des cheveux bruns","cheveux",2
"des excréments","excréments",2
"des marrons","marron",1
"des yeux","yeux",1
"différents objets ...","objet",1
"du bois","bois",5
"du caca","excréments",1
"du carton","carton",1
"du chocolat ","chocolat",1
"du papier en mauvias état","papier",1
"eau sale","eau sale",1
"ecorce","écorce",1
"écorce","écorce",8
"écorces","écorce",1
"écureuil","écureuil",1
"écureuil ","écureuil",1
"esclave","esclave",1
"étagère","meuble",1
"étui","étui",1
"excrément","excréments",7
"excrément ","excréments",2
"excréments","excréments",16
"excrêments","excréments",1
"excréments ","excréments",1
"fauteuil","meuble",1
"feuille","feuille",2
"feuille ","feuille",1
"feuille d'automne","feuille",2
"feuille d’automne","feuille",1
"feuille morte","feuille",2
"feuilles d'automne ","feuille",1
"feuilles mortes","feuille",1
"feutre","feutre",1
"flacon","flacon",1
"fleurs fanées","fleurs fanées",1
"foulard","foulard",2
"fourrure","fourrure",3
"fruit","fruit",1
"gant","gant",1
"gants","gant",2
"gâteau au chocolat","dessert au chocolat",1
"gateaux","dessert au chocolat",1
"glaise","terre",1
"grain de beauté ","grain de beauté",1
"hérisson","hérisson",1
"insecte","insecte",1
"iris (des yeux)","yeux",1
"iris des yeux","yeux",1
"ivrogne","ivrogne",1
"jupe","jupe",1
"kiwi","kiwi",5
"l ours","ours",1
"la boue","crème",2
"la canelle","cannelle",1
"la crème de marron","crème",1
"la noix","noix",1
"la pate à tartiner","pâte à tartiner",1
"la peau dite ""noire""","peau",1
"la terre","terre",6
"la terre","terre"," le terreau"
"laine","laine",1
"lampe","lampe",1
"lapin","lapin",1
"lapin ","lapin",1
"le bois","bois",3
"le caca","excréments",1
"le caca ","excréments",1
"le cacao","chocolat",2
"le cafe","café",1
"le café","café",3
"le chocolat","chocolat",4
"le marron","marron",1
"le marron (fruit du marronnier)","marron",1
"légo","légo",1
"lentilles","lentilles",2
"les lentilles","lentilles",1
"les noisettes","noisette",1
"les noix","noix",1
"les peaux noires (souvent)","peau",1
"les selles","excréments",1
"les yeux marron","yeux",1
"lézards","lézard",1
"liège","liège",3
"limace","limace",1
"limace ","limace",1
"livre","livre",1
"loutre","loutre",1
"manteau","manteau",3
"manteau ","manteau",2
"marmotte","marmotte",1
"marron","marron",26
"marron ","marron",1
"marron - fruit","marron",1
"marron (chataigne)","châtaigne",1
"marron châtaigne","châtaigne",3
"marron d'inde","marron d inde",3
"marron dinde","marron d inde",1
"marron glacé ","marron glacé",2
"marrons","marron",4
"meleze","mélèze",1
"merde","excréments",3
"mes cheveux ","cheveux",1
"mes yeux ","yeux",1
"meuble","meuble",15
"meuble en bois","meuble",1
"meubles","meuble",1
"meubles ","meuble",1
"meubles en bois","meuble",1
"montbéliarde","montbéliarde",1
"mousse au chocolat","dessert au chocolat",1
"moutarde","moutarde",1
"murs","mur",1
"nappe","nappe",1
"nature","nature",1
"nazisme","nazisme",1
"noisette","noisette",3
"noisettes","noisette",1
"noix","noix",5
"noix ","noix",2
"noix de coco","noix de coco",2
"noix de coco ","noix de coco",1
"noix de coco  ","noix de coco ",1
"objet","objet",1
"oiseau","oiseau",1
"oiseaux","oiseau",1
"ours","ours",16
"ours ","ours",2
"ours brun","ours",1
"ours brun ","ours",1
"paillasson","paillasson",1
"paille","paille",1
"pain","pain",1
"pantalon","pantalon",5
"pantalon ","pantalon",1
"papier kraft","papier",1
"papillon","papillon",1
"parquet","parquet",3
"parquet ","parquet",1
"peau","peau",6
"peinture","peinture",3
"peinture marron","peinture",1
"pelage d'un ours brun","ours",1
"pénage","pénage",1
"plancher","plancher",2
"poils ","poil",1
"pomme de pin","pomme de pin",2
"pomme pourrie","pomme pourrie",1
"porte ancienne","porte",1
"portefeuille","portefeuille",1
"pot","pot",1
"poterie","pot",1
"pull","pull",1
"pull over","pull",1
"pupille","pupille",1
"racines","racine",1
"reliures de certains livres","reliures de livres",1
"rivière","rivière",2
"robe de burre","robe de burre",1
"robes","robe",1
"rotin","rotin",1
"rouille","rouille",1
"sac","sac",6
"sacoche","sac",1
"sacs","sac",1
"saleté ","saleté",1
"sanglier","sanglier",1
"selles","excréments",2
"table","table",11
"table ","table",1
"table de jardin","table",1
"table en bois","table",1
"tache","tache",1
"tapis","tapis",1
"tapisserie","tapisserie",1
"taupe","taupe",1
"terre","terre",62
"terre ","terre",2
"terre cuite","terre",1
"terre glaise","terre",1
"thé","thé",1
"tissu","tissu",1
"tissu marron","tissu",1
"tissus","tissu",2
"tronc","tronc",11
"tronc ","tronc",1
"tronc arbre","tronc",1
"tronc d arbre","tronc",1
"tronc d'abre","tronc",1
"tronc d'arbre","tronc",10
"tronc d'arbre (souvent)","tronc",1
"tronc d’arbre","tronc",1
"tronc d’arbre ","tronc",1
"troncs d'arbre","tronc",1
"troncs d'arbres","tronc",2
"un arbre ","arbre",1
"un chien","chien",1
"un cuir","cuir",1
"un iris d'œil","yeux",1
"un marron","marron",9
"un marron !","marron",1
"un ours","ours",5
"un pull","pull",1
"un renard","renard",1
"un tronc","tronc",1
"un tronc d'arbre","tronc",1
"un tronc d'arbre (son écorce)","tronc",1
"une branche","branche",1
"une châtaigne","châtaigne",2
"une châtaigne ","châtaigne",1
"une noisette","noisette",2
"une noistte","noisette",1
"une veste","veste",1
"vache ","vache",2
"vaches","vache",1
"valise","valise",1
"verre","verre",1
"veste","veste",2
"vêtement","vêtement",6
"vêtement ","vêtement",1
"vetements","vêtement",1
"vêtements","vêtement",1
"voiture","voiture",1
"volet","volet",1
"yeux","yeux",30
"yeux ","yeux",5
